1,854.0,843.0
1,1069.0,800.0
1,945.0,689.0
1,878.0,671.0
1,942.0,518.0
1,814.0,501.0
1,926.0,476.0
1,890.0,429.0
1,1026.0,422.0
1,935.0,330.0
1,978.0,316.0
1,903.0,314.0
1,941.0,215.0
1,1033.0,531.0
1,913.0,522.0
2,854.0,843.0
2,1069.0,800.0
2,945.0,689.0
2,878.0,671.0
2,942.0,518.0
2,814.0,501.0
2,926.0,476.0
2,890.0,429.0
2,1026.0,422.0
2,935.0,330.0
2,978.0,316.0
2,903.0,314.0
2,941.0,215.0
2,1033.0,531.0
2,913.0,522.0
3,862.0,842.0
3,1068.0,795.0
3,937.0,689.0
3,880.0,672.0
3,941.0,517.0
3,818.0,503.0
3,925.0,475.0
3,892.0,428.0
3,1024.0,422.0
3,935.0,329.0
3,977.0,315.0
3,903.0,313.0
3,941.0,214.0
3,1029.0,531.0
3,912.0,521.0
4,872.0,841.0
4,1065.0,791.0
4,927.0,688.0
4,882.0,672.0
4,941.0,516.0
4,823.0,505.0
4,925.0,474.0
4,894.0,427.0
4,1022.0,422.0
4,934.0,328.0
4,977.0,314.0
4,903.0,312.0
4,941.0,213.0
4,1024.0,531.0
4,911.0,520.0
5,872.0,841.0
5,1065.0,791.0
5,927.0,688.0
5,882.0,672.0
5,941.0,516.0
5,823.0,505.0
5,925.0,474.0
5,894.0,427.0
5,1022.0,422.0
5,934.0,328.0
5,977.0,314.0
5,903.0,312.0
5,941.0,213.0
5,1024.0,531.0
5,911.0,520.0
6,872.0,841.0
6,1065.0,791.0
6,927.0,688.0
6,882.0,672.0
6,941.0,516.0
6,823.0,505.0
6,925.0,474.0
6,894.0,427.0
6,1022.0,422.0
6,934.0,328.0
6,977.0,314.0
6,903.0,312.0
6,941.0,213.0
6,1024.0,531.0
6,911.0,520.0
7,872.0,841.0
7,1065.0,791.0
7,927.0,688.0
7,882.0,672.0
7,941.0,516.0
7,823.0,505.0
7,925.0,474.0
7,894.0,427.0
7,1022.0,422.0
7,934.0,328.0
7,977.0,314.0
7,903.0,312.0
7,941.0,213.0
7,1024.0,531.0
7,911.0,520.0
8,882.0,840.0
8,1060.0,787.0
8,917.0,687.0
8,884.0,672.0
8,941.0,514.0
8,828.0,507.0
8,925.0,472.0
8,897.0,426.0
8,1020.0,421.0
8,934.0,326.0
8,976.0,312.0
8,903.0,310.0
8,941.0,211.0
8,1018.0,531.0
8,911.0,519.0
9,882.0,840.0
9,1059.0,787.0
9,917.0,687.0
9,884.0,672.0
9,941.0,514.0
9,829.0,507.0
9,925.0,472.0
9,897.0,426.0
9,1020.0,421.0
9,934.0,326.0
9,976.0,312.0
9,903.0,310.0
9,941.0,211.0
9,1018.0,531.0
9,911.0,519.0
10,893.0,839.0
10,1052.0,785.0
10,907.0,685.0
10,888.0,672.0
10,941.0,512.0
10,835.0,509.0
10,925.0,470.0
10,900.0,424.0
10,1017.0,420.0
10,934.0,324.0
10,976.0,310.0
10,904.0,308.0
10,941.0,209.0
10,1012.0,530.0
10,911.0,517.0
11,893.0,839.0
11,1052.0,785.0
11,907.0,685.0
11,888.0,672.0
11,941.0,512.0
11,835.0,509.0
11,925.0,470.0
11,900.0,424.0
11,1017.0,420.0
11,934.0,324.0
11,976.0,310.0
11,904.0,308.0
11,941.0,209.0
11,1011.0,530.0
11,911.0,517.0
